,名前,作品ポイント比率,音楽集計ポイント比率,回,回n,名前n
39,東方封魔録,0.0027487063013769,0.002266276238878669,15.0,0.42857142857142855,0.2894736842105263
40,未知の花　魅知の旅,0.0030326102386083,,,,
41,燕石博物誌,0.0051876992166832,,,,
42,旧約酒場,0.0029551818920906,,,,
43,東方天空璋,0.0312552425442954,0.03142494923316768,15.0,0.42857142857142855,0.23684210526315788
44,東方憑依華,0.0292421055348363,0.0138444795979042,15.0,0.42857142857142855,0.42105263157894735
45,東方文果真報,0.0042714637828909,,,,
46,秘封ナイトメアダイアリー,0.0086461653611387,0.0157349129951866,15.0,0.42857142857142855,0.9210526315789473
47,東方鬼形獣,0.0,0.0,15.0,0.42857142857142855,0.8421052631578947
48,東方酔蝶華,0.0,,,,
49,東方智霊奇伝 反則探偵さとり,0.0,,,,
50,The Grimoire of Usami 秘封倶楽部異界撮影記録,0.0,,,,
51,東方剛欲異聞,0.0,0.0,15.0,0.42857142857142855,0.15789473684210525
52,東方Project人妖名鑑 宵闇編,0.0,,,,
53,東方虹龍洞,0.0,0.0,15.0,0.42857142857142855,0.7105263157894737
54,バレットフィリア達の闇市場,0.0,,,,
55,東方Project人妖名鑑 常世編,0.0,,,,
56,虹色のセプテントリオン,0.0,,,,
57,Cradle,,0.0040389081484971,15.0,0.42857142857142855,0.0
58,トルテルマジック,,0.0007516856831924352,15.0,0.42857142857142855,0.05263157894736842
59,メニュー,,0.0011331381194393596,15.0,0.42857142857142855,0.07894736842105263
60,東方幻想麻雀,,0.0005833978436718,15.0,0.42857142857142855,0.34210526315789475
61,神魔討綺伝 ,,0.0002973085164865,15.0,0.42857142857142855,0.868421052631579
62,秋霜玉,,0.0031357634097356757,15.0,0.42857142857142855,0.8947368421052632
63,稀翁玉,,0.0005273018971648122,15.0,0.42857142857142855,0.9473684210526315
64,黄昏酒場,,0.0004824251399593,15.0,0.42857142857142855,0.9736842105263158
0,東方紅魔郷,0.1089299019888806,0.158557030196575,16.0,0.5714285714285714,0.5789473684210527
1,東方永夜抄,0.0951835081484878,0.07613762308495539,16.0,0.5714285714285714,0.5
2,東方妖々夢,0.0825929959305324,0.09476291266719673,16.0,0.5714285714285714,0.2631578947368421
3,東方風神録,0.0787241359546053,0.08871319454725039,16.0,0.5714285714285714,0.8157894736842105
4,東方地霊殿,0.0643472612292466,0.0765017264903223,16.0,0.5714285714285714,0.18421052631578946
5,東方紺珠伝,0.0608605108805716,0.052983047185399854,16.0,0.5714285714285714,0.6052631578947368
6,東方鈴奈庵,0.0301293441088248,,,,
7,東方輝針城,0.0304636900326703,0.037926771203021,16.0,0.5714285714285714,0.7368421052631579
8,東方星蓮船,0.0302821879597256,0.03996334959128295,16.0,0.5714285714285714,0.47368421052631576
9,東方非想天則,0.0237099023709902,0.062373714134813754,16.0,0.5714285714285714,0.7894736842105263
10,東方深秘録,0.0113677614107487,0.0011563283972648,16.0,0.5714285714285714,0.5263157894736842
11,東方神霊廟,0.0267285684262815,0.03333346670454325,16.0,0.5714285714285714,0.5526315789473685
12,東方茨歌仙,0.0279322137521254,,,,
13,東方花映塚,0.0201180718748208,0.051182535840177984,16.0,0.5714285714285714,0.6578947368421053
14,東方緋想天,0.013689077396305,0.0078062169656181,16.0,0.5714285714285714,0.631578947368421
15,弾幕アマノジャク,0.0093234749049502,0.0166487282388195,16.0,0.5714285714285714,0.13157894736842105
16,東方儚月抄,0.0116830018532316,,,,
17,東方心綺楼,0.0076517452857224,0.0035129976913443,16.0,0.5714285714285714,0.3684210526315789
18,東方三月精,0.0117212128159568,,,,
19,東方求聞史紀 / 東方求聞口授,0.0088171796488412,,,,
20,東方香霖堂,0.0089222597963355,,,,
21,大空魔術,0.0128579889570317,,,,
22,東方文花帖,0.0076612980264037,0.0138199248586596,16.0,0.5714285714285714,0.4473684210526316
23,ダブルスポイラー,0.0067633404023614,0.009734764673166918,16.0,0.5714285714285714,0.02631578947368421
24,蓬莱人形,0.0125905122179553,,,,
25,妖精大戦争,0.0073747158059647,0.011919385105369657,16.0,0.5714285714285714,0.10526315789473684
26,東方幻想郷,0.0109187825987275,0.011459254428256667,16.0,0.5714285714285714,0.3157894736842105
27,東方怪綺談,0.0078236946179859,0.011715327152910735,16.0,0.5714285714285714,0.39473684210526316
28,東方萃夢想,0.0070021589193939,0.005345518127148,16.0,0.5714285714285714,0.6842105263157895
29,蓮台野夜行,0.0053304293001662,,,,
30,東方夢時空,0.0062665978869337,0.008610445366483484,16.0,0.5714285714285714,0.21052631578947367
31,卯酉東海道,0.0066200492921419,,,,
32,The Grimoire of Marisa,0.0032861427943677,,,,
33,夢違科学世紀,0.0049960833763206,,,,
34,東方靈異伝,0.0059991211478573,0.0032129124671403954,16.0,0.5714285714285714,0.7631578947368421
35,伊弉諾物質,0.0036395941995758,,,,
36,鳥船遺跡,0.0029709023518847,,,,
37,東方文花帖（書籍）,0.001681282359909,,,,
38,幺樂団の歴史,0.002187577616018,,,,
39,東方封魔録,0.0035440667927628,0.0023446658851111633,16.0,0.5714285714285714,0.2894736842105263
40,未知の花　魅知の旅,0.0024168433923692,,,,
41,燕石博物誌,0.0043178387879482,,,,
42,旧約酒場,0.0027034256128083,,,,
43,東方天空璋,0.0232131598555625,0.023490671350662948,16.0,0.5714285714285714,0.23684210526315788
44,東方憑依華,0.0216369576431478,0.0107190442085552,16.0,0.5714285714285714,0.42105263157894735
45,東方文果真報,0.0025028180585009,,,,
46,秘封ナイトメアダイアリー,0.0043464970099921,0.010839078298236425,16.0,0.5714285714285714,0.9210526315789473
47,東方鬼形獣,0.0357845665921552,0.01712086232489963,16.0,0.5714285714285714,0.8421052631578947
48,東方酔蝶華,0.0070403698821191,,,,
49,東方智霊奇伝 反則探偵さとり,0.0062188341835272,,,,
50,The Grimoire of Usami 秘封倶楽部異界撮影記録,0.0044133661947612,,,,
51,東方剛欲異聞,0.0015093330276456,0.0,16.0,0.5714285714285714,0.15789473684210525
52,東方Project人妖名鑑 宵闇編,0.0012036453258439,,,,
53,東方虹龍洞,0.0,0.0,16.0,0.5714285714285714,0.7105263157894737
54,バレットフィリア達の闇市場,0.0,,,,
55,東方Project人妖名鑑 常世編,0.0,,,,
56,虹色のセプテントリオン,0.0,,,,
57,Cradle,,0.0033649556474038,16.0,0.5714285714285714,0.0
58,トルテルマジック,,0.0007322079470568192,16.0,0.5714285714285714,0.05263157894736842
59,メニュー,,0.0010562999891967826,16.0,0.5714285714285714,0.07894736842105263
60,東方幻想麻雀,,0.0006561863569253,16.0,0.5714285714285714,0.34210526315789475
61,神魔討綺伝 ,,0.0002600738609765,16.0,0.5714285714285714,0.868421052631579
62,秋霜玉,,0.0025607272465375495,16.0,0.5714285714285714,0.8947368421052632
63,稀翁玉,,0.0005041431766620704,16.0,0.5714285714285714,0.9473684210526315
64,黄昏酒場,,0.0004441261318214,16.0,0.5714285714285714,0.9736842105263158
0,東方紅魔郷,0.1158530005063795,0.1779170319382656,17.0,0.7142857142857143,0.5789473684210527
1,東方永夜抄,0.0972912844607887,0.0789167036447783,17.0,0.7142857142857143,0.5
2,東方妖々夢,0.0840507043656558,0.1010891407008153,17.0,0.7142857142857143,0.2631578947368421
3,東方風神録,0.07755908453218,0.0841116775075659,17.0,0.7142857142857143,0.8157894736842105
4,東方地霊殿,0.0605165071432722,0.0670945304861982,17.0,0.7142857142857143,0.18421052631578946
5,東方紺珠伝,0.0554527116209956,0.048122053024808674,17.0,0.7142857142857143,0.6052631578947368
6,東方鈴奈庵,0.0234926907017092,,,,
7,東方輝針城,0.0255431128230244,0.031249210832962754,17.0,0.7142857142857143,0.7368421052631579
8,東方星蓮船,0.027709753202228,0.03425796652849408,17.0,0.7142857142857143,0.47368421052631576
9,東方非想天則,0.0188107551696371,0.06185987279529223,17.0,0.7142857142857143,0.7894736842105263
10,東方深秘録,0.0089488058574001,0.0011616538776511,17.0,0.7142857142857143,0.5263157894736842
11,東方神霊廟,0.0268464175722005,0.02955362908608058,17.0,0.7142857142857143,0.5526315789473685
12,東方茨歌仙,0.0246714758888621,,,,
13,東方花映塚,0.0212762424976963,0.059146942000280756,17.0,0.7142857142857143,0.6578947368421053
14,東方緋想天,0.0135560296522583,0.0080846780739633,17.0,0.7142857142857143,0.631578947368421
15,弾幕アマノジャク,0.0090650241152885,0.0152494128597245,17.0,0.7142857142857143,0.13157894736842105
16,東方儚月抄,0.0107335862463993,,,,
17,東方心綺楼,0.0073217502469637,0.0036328740832132,17.0,0.7142857142857143,0.3684210526315789
18,東方三月精,0.0095714036675161,,,,
19,東方求聞史紀 / 東方求聞口授,0.007097615035322,,,,
20,東方香霖堂,0.0074130645924474,,,,
21,大空魔術,0.0089072993367258,,,,
22,東方文花帖,0.0075873919792799,0.0125436973061891,17.0,0.7142857142857143,0.4473684210526316
23,ダブルスポイラー,0.0055369698579646,0.008427402044077582,17.0,0.7142857142857143,0.02631578947368421
24,蓬莱人形,0.0107335862463993,,,,
25,妖精大戦争,0.0075707893710101,0.009549372093610153,17.0,0.7142857142857143,0.10526315789473684
26,東方幻想郷,0.0158471895934851,0.012449899166999328,17.0,0.7142857142857143,0.3157894736842105
27,東方怪綺談,0.0077285141495728,0.0099029189259385,17.0,0.7142857142857143,0.39473684210526316
28,東方萃夢想,0.0062259781011596,0.0047764898571742,17.0,0.7142857142857143,0.6842105263157895
29,蓮台野夜行,0.0047732498775557,,,,
30,東方夢時空,0.0067157550451175,0.007547142583993952,17.0,0.7142857142857143,0.21052631578947367
31,卯酉東海道,0.0054041489918066,,,,
32,The Grimoire of Marisa,0.002963565576152,,,,
33,夢違科学世紀,0.0038684077268538,,,,
34,東方靈異伝,0.0080688676191029,0.003041224282173241,17.0,0.7142857142857143,0.7631578947368421
35,伊弉諾物質,0.0034201373035703,,,,
36,鳥船遺跡,0.0025235964570033,,,,
37,東方文花帖（書籍）,0.0019176012551571,,,,
38,幺樂団の歴史,0.0018013829972688,,,,
39,東方封魔録,0.0052215203008392,0.0020094447510918692,17.0,0.7142857142857143,0.2894736842105263
40,未知の花　魅知の旅,0.0019923129923711,,,,
41,燕石博物誌,0.0030714825299054,,,,
42,旧約酒場,0.0024986925445987,,,,
43,東方天空璋,0.0184288951794326,0.020491285792106476,17.0,0.7142857142857143,0.23684210526315788
44,東方憑依華,0.0194997634128321,0.0099534256162718,17.0,0.7142857142857143,0.42105263157894735
45,東方文果真報,0.0020587234254501,,,,
46,秘封ナイトメアダイアリー,0.0041423507633049,0.009278800538256658,17.0,0.7142857142857143,0.9210526315789473
47,東方鬼形獣,0.0296024505449806,0.011172801425731077,17.0,0.7142857142857143,0.8421052631578947
48,東方酔蝶華,0.0107667914629388,,,,
49,東方智霊奇伝 反則探偵さとり,0.0068319733030059,,,,
50,The Grimoire of Usami 秘封倶楽部異界撮影記録,0.0043249794542722,,,,
51,東方剛欲異聞,0.0033703294787611,0.0,17.0,0.7142857142857143,0.15789473684210525
52,東方Project人妖名鑑 宵闇編,0.0023077625494965,,,,
53,東方虹龍洞,0.0415065206743979,0.03040502758025964,17.0,0.7142857142857143,0.7105263157894737
54,バレットフィリア達の闇市場,0.0,,,,
55,東方Project人妖名鑑 常世編,0.0,,,,
56,虹色のセプテントリオン,0.0,,,,
57,Cradle,,0.0034200244596686,17.0,0.7142857142857143,0.0
58,トルテルマジック,,0.0006241183876821233,17.0,0.7142857142857143,0.05263157894736842
59,メニュー,,0.0010426023932953701,17.0,0.7142857142857143,0.07894736842105263
60,東方幻想麻雀,,0.0004148763848754,17.0,0.7142857142857143,0.34210526315789475
61,神魔討綺伝 ,,0.0001623429332121,17.0,0.7142857142857143,0.868421052631579
62,秋霜玉,,0.0023449534797303695,17.0,0.7142857142857143,0.8947368421052632
63,稀翁玉,,0.0003932306604470288,17.0,0.7142857142857143,0.9473684210526315
64,黄昏酒場,,0.0003355087286383,17.0,0.7142857142857143,0.9736842105263158
0,東方紅魔郷,0.1422444554704439,0.2096843836743078,18.0,0.8571428571428571,0.5789473684210527
1,東方永夜抄,0.0967735357888083,0.0798660576598269,18.0,0.8571428571428571,0.5
2,東方妖々夢,0.0862520135665105,0.098189134808852,18.0,0.8571428571428571,0.2631578947368421
3,東方風神録,0.0799717251082398,0.0894270733892399,18.0,0.8571428571428571,0.8157894736842105
4,東方地霊殿,0.0622455429662808,0.07012292734509175,18.0,0.8571428571428571,0.18421052631578946
5,東方紺珠伝,0.0487809851352912,0.04297610480400555,18.0,0.8571428571428571,0.6052631578947368
6,東方鈴奈庵,0.020587655562881,,,,
7,東方輝針城,0.0202885942077253,0.02470296229934275,18.0,0.8571428571428571,0.7368421052631579
8,東方星蓮船,0.0242919382574238,0.03154107124498728,18.0,0.8571428571428571,0.47368421052631576
9,東方非想天則,0.0159997825008326,0.06278253462380055,18.0,0.8571428571428571,0.7894736842105263
10,東方深秘録,0.0082649683606679,0.0009751942310799,18.0,0.8571428571428571,0.5263157894736842
11,東方神霊廟,0.0235986596613809,0.02700289327204025,18.0,0.8571428571428571,0.5526315789473685
12,東方茨歌仙,0.0244822500288866,,,,
13,東方花映塚,0.022436398485662,0.057665702242652356,18.0,0.8571428571428571,0.6578947368421053
14,東方緋想天,0.0127848729329083,0.006788174301282,18.0,0.8571428571428571,0.631578947368421
15,弾幕アマノジャク,0.0077959857809919,0.0127068983242518,18.0,0.8571428571428571,0.13157894736842105
16,東方儚月抄,0.0116837833980166,,,,
17,東方心綺楼,0.0065113813236183,0.0031870052431375003,18.0,0.8571428571428571,0.3684210526315789
18,東方三月精,0.008625201356651,,,,
19,東方求聞史紀 / 東方求聞口授,0.0066745056991578,,,,
20,東方香霖堂,0.0055190413724197,,,,
21,大空魔術,0.0080542660422628,,,,
22,東方文花帖,0.0064909907766759,0.0113733495865702,18.0,0.8571428571428571,0.4473684210526316
23,ダブルスポイラー,0.0046218573069524,0.006937978234369552,18.0,0.8571428571428571,0.02631578947368421
24,蓬莱人形,0.0104263663365663,,,,
25,妖精大戦争,0.0064026317399253,0.0085505735140767,18.0,0.8571428571428571,0.10526315789473684
26,東方幻想郷,0.0180592277420188,0.011484968203380203,18.0,0.8571428571428571,0.3157894736842105
27,東方怪綺談,0.0077687983850686,0.008823745392059731,18.0,0.8571428571428571,0.39473684210526316
28,東方萃夢想,0.0067560678869276,0.004329627399433,18.0,0.8571428571428571,0.6842105263157895
29,蓮台野夜行,0.0041868589721804,,,,
30,東方夢時空,0.0065317718705608,0.006676555684471482,18.0,0.8571428571428571,0.21052631578947367
31,卯酉東海道,0.0056481815030551,,,,
32,The Grimoire of Marisa,0.0031129568332121,,,,
33,夢違科学世紀,0.0034188150373486,,,,
34,東方靈異伝,0.0091009807853079,0.002611288166957852,18.0,0.8571428571428571,0.7631578947368421
35,伊弉諾物質,0.0026371774045552,,,,
36,鳥船遺跡,0.0021274137309943,,,,
37,東方文花帖（書籍）,0.0017943681309344,,,,
38,幺樂団の歴史,0.0017060090941839,,,,
39,東方封魔録,0.0057909153316522,0.002035571090778056,18.0,0.8571428571428571,0.2894736842105263
40,未知の花　魅知の旅,0.0014545256818938,,,,
41,燕石博物誌,0.0026099900086319,,,,
42,旧約酒場,0.0020254609962821,,,,
43,東方天空璋,0.0160065793498134,0.017688613432418624,18.0,0.8571428571428571,0.23684210526315788
44,東方憑依華,0.0200507044933968,0.0097431303147351,18.0,0.8571428571428571,0.42105263157894735
45,東方文果真報,0.0019982736003588,,,,
46,秘封ナイトメアダイアリー,0.0030721757393272,0.008104099046835424,18.0,0.8571428571428571,0.9210526315789473
47,東方鬼形獣,0.0250056074004091,0.008782622743761325,18.0,0.8571428571428571,0.8421052631578947
48,東方酔蝶華,0.0095835570629456,,,,
49,東方智霊奇伝 反則探偵さとり,0.0091281681812311,,,,
50,The Grimoire of Usami 秘封倶楽部異界撮影記録,0.0032760812087516,,,,
51,東方剛欲異聞,0.0107118339937604,0.0046174859375229,18.0,0.8571428571428571,0.15789473684210525
52,東方Project人妖名鑑 宵闇編,0.0010331210450834,,,,
53,東方虹龍洞,0.0304226960381167,0.020699378754276774,18.0,0.8571428571428571,0.7105263157894737
54,バレットフィリア達の闇市場,0.0116565960020934,,,,
55,東方Project人妖名鑑 常世編,0.0007884344817742,,,,
56,虹色のセプテントリオン,0.0007272628409469,,,,
57,Cradle,,0.0030753866263273,18.0,0.8571428571428571,0.0
58,トルテルマジック,,0.0007460823334165262,18.0,0.8571428571428571,0.05263157894736842
59,メニュー,,0.0009164475906533021,18.0,0.8571428571428571,0.07894736842105263
60,東方幻想麻雀,,0.0004229758110708,18.0,0.8571428571428571,0.34210526315789475
61,神魔討綺伝 ,,0.0001938639134074,18.0,0.8571428571428571,0.868421052631579
62,秋霜玉,,0.002261745656419953,18.0,0.8571428571428571,0.8947368421052632
63,稀翁玉,,0.00039360249085747804,18.0,0.8571428571428571,0.9473684210526315
64,黄昏酒場,,0.0003054825302178,18.0,0.8571428571428571,0.9736842105263158
