,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"subpower[1, 1]",0.757,0.404,0.074,1.507,0.013,0.009,953.0,2349.0,1.0
"subpower[1, 2]",0.726,0.406,0.037,1.461,0.012,0.009,954.0,1701.0,1.01
"subpower[1, 3]",0.756,0.415,0.042,1.487,0.013,0.01,964.0,1683.0,1.01
"subpower[1, 4]",0.742,0.405,0.034,1.439,0.011,0.008,1193.0,1093.0,1.0
"subpower[2, 0]",0.802,0.413,0.074,1.536,0.011,0.008,1454.0,2728.0,1.0
"subpower[2, 1]",0.744,0.4,0.016,1.444,0.011,0.007,1370.0,2072.0,1.0
"subpower[2, 2]",0.729,0.412,0.001,1.435,0.011,0.008,1245.0,602.0,1.01
"subpower[2, 3]",0.733,0.4,0.002,1.414,0.01,0.007,1513.0,2098.0,1.0
"subpower[2, 4]",0.743,0.41,0.032,1.484,0.011,0.008,1392.0,2167.0,1.0
"subpower[3, 0]",0.756,0.413,0.036,1.476,0.013,0.009,968.0,1879.0,1.0
"subpower[3, 1]",0.968,0.486,0.145,1.896,0.024,0.019,484.0,208.0,1.01
"subpower[3, 2]",0.757,0.402,0.027,1.46,0.01,0.007,1483.0,1676.0,1.0
"subpower[3, 3]",0.74,0.41,0.011,1.437,0.016,0.011,506.0,129.0,1.01
"subpower[3, 4]",0.777,0.433,0.041,1.568,0.024,0.022,509.0,91.0,1.01
"subpower[4, 0]",1.062,0.461,0.242,1.93,0.017,0.012,728.0,1359.0,1.01
"subpower[4, 1]",0.743,0.41,0.03,1.476,0.011,0.007,1435.0,1974.0,1.0
"subpower[4, 2]",0.771,0.403,0.061,1.499,0.01,0.007,1438.0,2111.0,1.0
"subpower[4, 3]",0.739,0.402,0.02,1.443,0.01,0.007,1383.0,2675.0,1.0
"subpower[4, 4]",0.749,0.398,0.004,1.433,0.01,0.007,1625.0,2140.0,1.0
"subpower[5, 0]",0.854,0.397,0.137,1.581,0.012,0.008,1104.0,1424.0,1.0
"subpower[5, 1]",0.964,0.441,0.169,1.808,0.014,0.01,883.0,1421.0,1.0
"subpower[5, 2]",0.739,0.411,0.015,1.431,0.011,0.008,1276.0,1929.0,1.0
"subpower[5, 3]",0.76,0.407,0.0,1.448,0.011,0.007,1274.0,1413.0,1.0
"subpower[5, 4]",0.734,0.413,0.002,1.434,0.015,0.01,586.0,91.0,1.01
"subpower[6, 0]",0.652,0.351,0.025,1.26,0.009,0.006,1405.0,1763.0,1.0
"subpower[6, 1]",1.148,0.474,0.258,1.995,0.017,0.012,694.0,1076.0,1.0
"subpower[6, 2]",0.849,0.408,0.208,1.688,0.019,0.018,573.0,136.0,1.01
"subpower[6, 3]",0.749,0.396,0.025,1.414,0.01,0.007,1578.0,2265.0,1.0
"subpower[6, 4]",0.715,0.393,0.041,1.389,0.014,0.01,800.0,1745.0,1.0
"subpower[7, 0]",0.752,0.401,0.058,1.465,0.011,0.007,1384.0,2481.0,1.0
"subpower[7, 1]",0.852,0.384,0.139,1.55,0.011,0.008,1251.0,2069.0,1.0
"subpower[7, 2]",1.224,0.498,0.37,2.173,0.019,0.014,627.0,905.0,1.01
"subpower[7, 3]",0.793,0.385,0.105,1.488,0.011,0.008,1119.0,1941.0,1.0
"subpower[7, 4]",0.76,0.418,0.058,1.516,0.015,0.011,897.0,2341.0,1.0
"subpower[8, 0]",0.763,0.414,0.011,1.483,0.012,0.009,1159.0,2403.0,1.0
"subpower[8, 1]",0.755,0.404,0.048,1.462,0.01,0.007,1570.0,2447.0,1.0
"subpower[8, 2]",0.794,0.38,0.09,1.473,0.013,0.009,870.0,1791.0,1.0
"subpower[8, 3]",0.97,0.432,0.188,1.74,0.017,0.012,649.0,1590.0,1.01
"subpower[8, 4]",0.78,0.382,0.089,1.478,0.014,0.01,792.0,1363.0,1.01
"subpower[9, 0]",0.79,0.331,0.189,1.392,0.011,0.008,894.0,1924.0,1.0
"subpower[9, 1]",0.763,0.402,0.043,1.453,0.015,0.01,743.0,1566.0,1.0
"subpower[9, 2]",0.744,0.408,0.005,1.442,0.01,0.007,1528.0,2326.0,1.0
"subpower[9, 3]",0.74,0.357,0.074,1.383,0.008,0.006,1867.0,2410.0,1.0
"subpower[9, 4]",0.901,0.386,0.25,1.673,0.011,0.008,1125.0,1753.0,1.0
"subpower[10, 0]",0.761,0.401,0.017,1.443,0.009,0.007,1724.0,2428.0,1.0
"subpower[10, 1]",0.777,0.324,0.205,1.399,0.009,0.007,1129.0,1344.0,1.0
"subpower[10, 2]",0.762,0.403,0.004,1.429,0.013,0.009,966.0,2378.0,1.01
"subpower[10, 3]",0.744,0.399,0.027,1.443,0.009,0.006,1807.0,2578.0,1.0
"subpower[10, 4]",0.629,0.328,0.004,1.19,0.007,0.005,1719.0,1373.0,1.0
"subpower[11, 0]",0.759,0.406,0.034,1.463,0.011,0.008,1342.0,1886.0,1.0
"subpower[11, 1]",0.746,0.393,0.041,1.444,0.01,0.007,1420.0,2209.0,1.0
"subpower[11, 2]",0.538,0.273,0.047,1.04,0.007,0.005,1596.0,2720.0,1.0
"subpower[11, 3]",0.752,0.406,0.015,1.434,0.01,0.007,1555.0,2611.0,1.0
"subpower[11, 4]",0.729,0.407,0.01,1.421,0.009,0.006,1773.0,2538.0,1.01
"subpower[12, 0]",0.631,0.339,0.045,1.245,0.007,0.005,2113.0,2288.0,1.0
"subpower[12, 1]",0.748,0.4,0.027,1.439,0.011,0.008,1242.0,1562.0,1.0
"subpower[12, 2]",0.748,0.409,0.048,1.482,0.011,0.008,1370.0,3064.0,1.0
"subpower[12, 3]",0.526,0.271,0.034,0.997,0.012,0.01,656.0,393.0,1.01
"subpower[12, 4]",0.729,0.407,0.011,1.432,0.013,0.009,711.0,450.0,1.0
"subpower[13, 0]",0.943,0.383,0.287,1.735,0.02,0.017,436.0,79.0,1.01
"subpower[13, 1]",1.175,0.452,0.366,2.025,0.016,0.011,772.0,1023.0,1.0
"subpower[13, 2]",0.746,0.401,0.064,1.486,0.011,0.008,1234.0,1652.0,1.0
"subpower[13, 3]",0.76,0.419,0.028,1.49,0.017,0.013,720.0,1829.0,1.01
"subpower[13, 4]",0.491,0.263,0.0,0.924,0.007,0.005,1578.0,1838.0,1.0
"subpower[14, 0]",0.756,0.41,0.023,1.45,0.013,0.009,1064.0,1489.0,1.0
"subpower[14, 1]",0.818,0.347,0.17,1.453,0.011,0.008,940.0,1149.0,1.0
"subpower[14, 2]",0.048,0.04,0.0,0.12,0.001,0.0,4266.0,2692.0,1.0
"subpower[14, 3]",0.744,0.404,0.037,1.482,0.009,0.007,1784.0,2347.0,1.0
"subpower[14, 4]",0.729,0.422,0.009,1.455,0.015,0.011,603.0,1366.0,1.01
"subpower[15, 0]",0.681,0.359,0.0,1.283,0.009,0.006,1563.0,1684.0,1.0
"subpower[15, 1]",0.751,0.397,0.072,1.476,0.01,0.007,1419.0,2348.0,1.0
"subpower[15, 2]",0.573,0.283,0.071,1.102,0.006,0.005,1810.0,1950.0,1.0
"subpower[15, 3]",0.045,0.041,0.0,0.121,0.001,0.001,616.0,80.0,1.01
"subpower[15, 4]",0.754,0.41,0.024,1.462,0.01,0.007,1557.0,2333.0,1.0
"subpower[16, 0]",0.742,0.419,0.061,1.512,0.016,0.011,550.0,1015.0,1.0
"subpower[16, 1]",0.673,0.366,0.024,1.313,0.012,0.008,844.0,1202.0,1.0
"subpower[16, 2]",0.749,0.415,0.001,1.423,0.015,0.01,712.0,788.0,1.0
"subpower[16, 3]",0.49,0.268,0.007,0.949,0.006,0.004,2007.0,2236.0,1.0
"subpower[16, 4]",0.047,0.042,0.0,0.127,0.002,0.001,751.0,253.0,1.01
"subpower[17, 0]",0.374,0.231,0.0,0.769,0.004,0.003,3248.0,2278.0,1.0
"subpower[17, 1]",0.756,0.405,0.028,1.453,0.011,0.008,1173.0,1333.0,1.0
"subpower[17, 2]",0.712,0.373,0.088,1.41,0.013,0.009,960.0,2695.0,1.0
"subpower[17, 3]",0.74,0.411,0.026,1.454,0.012,0.008,1048.0,613.0,1.0
"subpower[17, 4]",0.463,0.271,0.001,0.926,0.012,0.009,638.0,1096.0,1.01
titlepow[0],0.419,0.363,0.001,1.08,0.048,0.034,45.0,61.0,1.09
titlepow[1],0.465,0.381,0.001,1.189,0.051,0.036,48.0,133.0,1.08
titlepow[2],0.384,0.315,0.0,0.927,0.043,0.031,43.0,141.0,1.08
titlepow[3],0.401,0.328,0.0,0.974,0.044,0.031,43.0,132.0,1.08
titlepow[4],0.398,0.318,0.001,0.959,0.049,0.035,38.0,191.0,1.1
titlepow[5],0.411,0.328,0.0,1.019,0.047,0.033,39.0,91.0,1.08
titlepow[6],0.383,0.308,0.0,0.929,0.042,0.03,43.0,157.0,1.08
titlepow[7],0.409,0.348,0.0,1.01,0.045,0.032,45.0,142.0,1.08
titlepow[8],0.372,0.284,0.0,0.863,0.036,0.025,48.0,118.0,1.08
titlepow[9],0.376,0.308,0.0,0.929,0.039,0.028,46.0,135.0,1.08
titlepow[10],0.389,0.31,0.0,0.939,0.043,0.031,45.0,158.0,1.08
titlepow[11],0.385,0.32,0.0,0.962,0.044,0.031,39.0,149.0,1.08
titlepow[12],0.299,0.238,0.001,0.731,0.029,0.021,49.0,129.0,1.07
titlepow[13],0.37,0.311,0.0,0.924,0.042,0.03,48.0,177.0,1.08
titlepow[14],0.356,0.285,0.001,0.847,0.038,0.027,44.0,147.0,1.08
titlepow[15],0.359,0.277,0.0,0.849,0.035,0.025,44.0,138.0,1.07
titlepow[16],0.376,0.311,0.0,0.927,0.043,0.03,43.0,156.0,1.08
titlepow[17],0.383,0.313,0.001,0.924,0.043,0.03,45.0,160.0,1.08
noninttitlepow[0],0.382,0.312,0.0,0.933,0.042,0.03,43.0,141.0,1.08
noninttitlepow[1],0.382,0.314,0.0,0.936,0.043,0.031,42.0,137.0,1.08
noninttitlepow[2],0.371,0.316,0.001,0.923,0.042,0.03,42.0,158.0,1.09
noninttitlepow[3],0.38,0.315,0.001,0.936,0.042,0.03,42.0,161.0,1.08
noninttitlepow[4],0.407,0.34,0.001,1.022,0.048,0.034,41.0,128.0,1.09
noninttitlepow[5],0.385,0.304,0.0,0.948,0.042,0.03,45.0,157.0,1.08
noninttitlepow[6],0.404,0.336,0.0,0.995,0.05,0.036,45.0,152.0,1.09
noninttitlepow[7],0.366,0.314,0.0,0.92,0.04,0.029,48.0,158.0,1.08
noninttitlepow[8],0.376,0.311,0.0,0.943,0.043,0.031,43.0,168.0,1.08
noninttitlepow[9],0.398,0.313,0.0,0.959,0.042,0.03,39.0,118.0,1.08
noninttitlepow[10],0.379,0.312,0.0,0.916,0.038,0.027,56.0,166.0,1.07
noninttitlepow[11],0.383,0.316,0.0,0.928,0.043,0.03,43.0,158.0,1.08
noninttitlepow[12],0.016,0.013,0.0,0.04,0.0,0.0,1631.0,3237.0,1.0
noninttitlepow[13],0.491,0.393,0.0,1.218,0.06,0.042,35.0,116.0,1.09
noninttitlepow[14],0.393,0.334,0.0,0.999,0.046,0.033,36.0,109.0,1.09
noninttitlepow[15],0.413,0.337,0.0,1.011,0.05,0.035,39.0,129.0,1.09
noninttitlepow[16],0.383,0.314,0.0,0.928,0.042,0.03,41.0,174.0,1.08
noninttitlepow[17],0.31,0.227,0.0,0.69,0.031,0.022,41.0,123.0,1.08
indivisual[0],44.914,2.208,40.749,48.796,0.138,0.098,251.0,299.0,1.02
indivisual[1],48.363,2.348,44.26,53.076,0.121,0.086,371.0,1767.0,1.01
indivisual[2],47.905,2.299,43.884,52.287,0.114,0.081,404.0,747.0,1.01
indivisual[3],14.862,1.215,12.524,17.197,0.11,0.078,137.0,77.0,1.03
indivisual[4],20.464,1.357,17.996,23.038,0.121,0.086,126.0,1093.0,1.03
indivisual[5],8.08,0.965,6.282,9.918,0.111,0.079,76.0,957.0,1.04
indivisual[6],30.893,1.72,27.42,33.799,0.143,0.101,145.0,110.0,1.02
indivisual[7],33.411,1.849,29.632,36.636,0.149,0.106,156.0,94.0,1.02
indivisual[8],29.099,1.645,25.969,32.218,0.098,0.069,279.0,1764.0,1.02
indivisual[9],4.573,0.492,3.655,5.529,0.007,0.005,4579.0,4337.0,1.01
indivisual[10],16.05,1.221,13.769,18.351,0.121,0.086,102.0,670.0,1.03
indivisual[11],0.941,0.172,0.631,1.264,0.003,0.002,3973.0,4193.0,1.0
indivisual[12],0.025,0.008,0.009,0.039,0.0,0.0,539.0,946.0,1.0
indivisual[13],11.203,1.044,9.205,13.142,0.089,0.063,137.0,666.0,1.03
indivisual[14],0.027,0.009,0.01,0.044,0.0,0.0,536.0,815.0,1.0
indivisual[15],0.023,0.008,0.009,0.039,0.0,0.0,399.0,657.0,1.01
indivisual[16],0.023,0.008,0.009,0.038,0.0,0.0,379.0,1116.0,1.0
indivisual[17],0.711,0.136,0.473,0.978,0.002,0.001,6711.0,5095.0,1.0
indivisual[18],0.023,0.008,0.008,0.037,0.0,0.0,341.0,460.0,1.01
indivisual[19],2.981,0.766,1.547,4.395,0.102,0.074,55.0,536.0,1.06
indivisual[20],0.303,0.066,0.181,0.426,0.001,0.001,5347.0,4186.0,1.0
indivisual[21],0.2,0.046,0.118,0.285,0.001,0.001,2114.0,5164.0,1.0
indivisual[22],0.224,0.052,0.131,0.321,0.001,0.001,4682.0,4844.0,1.0
indivisual[23],0.309,0.068,0.186,0.439,0.001,0.001,5606.0,2952.0,1.0
indivisual[24],0.488,0.102,0.306,0.682,0.002,0.001,3513.0,4585.0,1.0
indivisual[25],0.023,0.008,0.009,0.039,0.0,0.0,723.0,1404.0,1.01
indivisual[26],37.723,1.947,34.213,41.469,0.065,0.046,879.0,2164.0,1.01
indivisual[27],14.712,1.293,12.203,17.285,0.126,0.089,113.0,75.0,1.03
indivisual[28],6.342,0.743,4.929,7.654,0.055,0.039,188.0,441.0,1.02
indivisual[29],26.637,1.699,23.304,29.976,0.15,0.106,142.0,66.0,1.02
indivisual[30],23.147,1.561,20.224,25.908,0.122,0.086,169.0,266.0,1.02
indivisual[31],2.349,0.755,0.858,3.587,0.099,0.07,58.0,161.0,1.05
indivisual[32],1.958,0.511,1.018,2.911,0.046,0.032,132.0,835.0,1.03
indivisual[33],1.898,0.505,0.877,2.735,0.047,0.033,122.0,278.0,1.03
indivisual[34],0.023,0.008,0.009,0.039,0.0,0.0,651.0,1029.0,1.0
indivisual[35],1.344,0.229,0.931,1.785,0.003,0.002,4089.0,4255.0,1.01
indivisual[36],0.025,0.008,0.008,0.04,0.0,0.0,546.0,1236.0,1.0
indivisual[37],5.147,0.663,3.898,6.395,0.039,0.027,296.0,1733.0,1.02
indivisual[38],0.023,0.008,0.008,0.039,0.0,0.0,630.0,798.0,1.01
indivisual[39],0.023,0.008,0.008,0.038,0.0,0.0,410.0,853.0,1.01
indivisual[40],0.023,0.008,0.007,0.037,0.0,0.0,615.0,1205.0,1.01
indivisual[41],0.025,0.009,0.009,0.04,0.0,0.0,446.0,1051.0,1.01
indivisual[42],0.865,0.17,0.555,1.187,0.002,0.002,5150.0,4247.0,1.0
indivisual[43],0.023,0.008,0.008,0.038,0.0,0.0,582.0,923.0,1.01
indivisual[44],0.434,0.098,0.26,0.615,0.002,0.002,1816.0,4782.0,1.0
indivisual[45],3.421,0.414,2.642,4.197,0.006,0.004,4628.0,5100.0,1.0
indivisual[46],0.288,0.068,0.166,0.416,0.002,0.001,1204.0,2328.0,1.01
indivisual[47],0.023,0.008,0.008,0.039,0.0,0.0,328.0,439.0,1.01
indivisual[48],20.866,1.344,18.434,23.444,0.049,0.035,771.0,3539.0,1.01
indivisual[49],11.367,1.139,9.068,13.328,0.104,0.074,122.0,128.0,1.03
indivisual[50],26.857,1.709,23.265,29.651,0.14,0.099,152.0,72.0,1.02
indivisual[51],7.824,1.09,5.768,9.935,0.118,0.083,97.0,77.0,1.04
indivisual[52],11.08,1.258,8.844,13.535,0.141,0.1,97.0,55.0,1.03
indivisual[53],5.33,0.902,3.72,7.025,0.098,0.07,85.0,836.0,1.04
indivisual[54],8.033,0.857,6.179,9.456,0.071,0.05,160.0,84.0,1.02
indivisual[55],3.494,0.798,1.923,4.896,0.108,0.077,55.0,510.0,1.05
indivisual[56],5.952,0.623,4.793,7.094,0.016,0.012,1495.0,4439.0,1.0
indivisual[57],0.023,0.008,0.007,0.038,0.0,0.0,789.0,1247.0,1.0
indivisual[58],1.986,0.303,1.427,2.567,0.004,0.003,6567.0,4673.0,1.0
indivisual[59],4.478,0.814,2.915,5.938,0.103,0.073,62.0,768.0,1.05
indivisual[60],0.351,0.081,0.207,0.51,0.001,0.001,6730.0,5108.0,1.0
indivisual[61],0.021,0.008,0.006,0.036,0.0,0.0,547.0,971.0,1.0
indivisual[62],0.023,0.008,0.008,0.039,0.0,0.0,591.0,974.0,1.0
indivisual[63],1.018,0.196,0.66,1.38,0.004,0.003,2245.0,4310.0,1.0
indivisual[64],0.37,0.088,0.213,0.54,0.002,0.001,2850.0,1048.0,1.0
indivisual[65],0.026,0.009,0.009,0.041,0.0,0.0,383.0,1298.0,1.01
indivisual[66],1.034,0.194,0.688,1.402,0.003,0.002,5581.0,5571.0,1.01
indivisual[67],0.948,0.19,0.6,1.308,0.003,0.002,5319.0,4413.0,1.0
indivisual[68],0.763,0.164,0.468,1.076,0.002,0.001,7024.0,4871.0,1.0
indivisual[69],0.022,0.009,0.006,0.038,0.001,0.001,259.0,114.0,1.02
indivisual[70],0.256,0.063,0.144,0.377,0.001,0.001,3908.0,3748.0,1.01
indivisual[71],1.3,0.238,0.851,1.736,0.003,0.002,5884.0,4478.0,1.0
indivisual[72],0.022,0.008,0.006,0.036,0.0,0.0,563.0,924.0,1.01
indivisual[73],30.03,1.778,26.662,33.28,0.09,0.064,389.0,2112.0,1.02
indivisual[74],12.498,1.08,10.352,14.402,0.052,0.037,428.0,85.0,1.01
indivisual[75],21.748,1.341,19.302,24.296,0.032,0.023,1820.0,2817.0,1.0
indivisual[76],7.188,0.885,5.587,8.866,0.047,0.034,350.0,2258.0,1.01
indivisual[77],14.524,1.309,11.774,16.791,0.114,0.081,138.0,65.0,1.02
indivisual[78],3.45,0.81,1.913,4.874,0.093,0.066,75.0,383.0,1.04
indivisual[79],0.02,0.012,0.0,0.039,0.0,0.0,1520.0,2210.0,1.0
