,名前,12回目ポイント,16回目ポイント,13回目ポイント,15回目ポイント,17回目ポイント,20回目ポイント,18回目ポイント,21回目ポイント,14回目ポイント
279,文花帖,407.0,802.0,1226.0,717.0,914.0,940,955.0,940,226.0
280,文花帖,407.0,802.0,1226.0,717.0,914.0,940,955.0,279,870.0
281,文花帖,407.0,802.0,1226.0,717.0,914.0,940,955.0,279,226.0
282,文花帖,407.0,802.0,1226.0,717.0,914.0,940,264.0,940,870.0
283,文花帖,407.0,802.0,1226.0,717.0,914.0,940,264.0,940,226.0
284,文花帖,407.0,802.0,1226.0,717.0,914.0,940,264.0,279,870.0
285,文花帖,407.0,802.0,1226.0,717.0,914.0,940,264.0,279,226.0
286,文花帖,407.0,802.0,1226.0,717.0,914.0,279,955.0,940,870.0
287,文花帖,407.0,802.0,1226.0,717.0,914.0,279,955.0,940,226.0
288,文花帖,407.0,802.0,1226.0,717.0,914.0,279,955.0,279,870.0
289,文花帖,407.0,802.0,1226.0,717.0,914.0,279,955.0,279,226.0
290,文花帖,407.0,802.0,1226.0,717.0,914.0,279,264.0,940,870.0
291,文花帖,407.0,802.0,1226.0,717.0,914.0,279,264.0,940,226.0
292,文花帖,407.0,802.0,1226.0,717.0,914.0,279,264.0,279,870.0
293,文花帖,407.0,802.0,1226.0,717.0,914.0,279,264.0,279,226.0
294,文花帖,407.0,802.0,1226.0,717.0,231.0,940,955.0,940,870.0
295,文花帖,407.0,802.0,1226.0,717.0,231.0,940,955.0,940,226.0
296,文花帖,407.0,802.0,1226.0,717.0,231.0,940,955.0,279,870.0
297,文花帖,407.0,802.0,1226.0,717.0,231.0,940,955.0,279,226.0
298,文花帖,407.0,802.0,1226.0,717.0,231.0,940,264.0,940,870.0
299,文花帖,407.0,802.0,1226.0,717.0,231.0,940,264.0,940,226.0
300,文花帖,407.0,802.0,1226.0,717.0,231.0,940,264.0,279,870.0
301,文花帖,407.0,802.0,1226.0,717.0,231.0,940,264.0,279,226.0
302,文花帖,407.0,802.0,1226.0,717.0,231.0,279,955.0,940,870.0
303,文花帖,407.0,802.0,1226.0,717.0,231.0,279,955.0,940,226.0
304,文花帖,407.0,802.0,1226.0,717.0,231.0,279,955.0,279,870.0
305,文花帖,407.0,802.0,1226.0,717.0,231.0,279,955.0,279,226.0
306,文花帖,407.0,802.0,1226.0,717.0,231.0,279,264.0,940,870.0
307,文花帖,407.0,802.0,1226.0,717.0,231.0,279,264.0,940,226.0
308,文花帖,407.0,802.0,1226.0,717.0,231.0,279,264.0,279,870.0
309,文花帖,407.0,802.0,1226.0,717.0,231.0,279,264.0,279,226.0
310,文花帖,407.0,802.0,1226.0,201.0,914.0,940,955.0,940,870.0
311,文花帖,407.0,802.0,1226.0,201.0,914.0,940,955.0,940,226.0
312,文花帖,407.0,802.0,1226.0,201.0,914.0,940,955.0,279,870.0
313,文花帖,407.0,802.0,1226.0,201.0,914.0,940,955.0,279,226.0
314,文花帖,407.0,802.0,1226.0,201.0,914.0,940,264.0,940,870.0
315,文花帖,407.0,802.0,1226.0,201.0,914.0,940,264.0,940,226.0
316,文花帖,407.0,802.0,1226.0,201.0,914.0,940,264.0,279,870.0
317,文花帖,407.0,802.0,1226.0,201.0,914.0,940,264.0,279,226.0
318,文花帖,407.0,802.0,1226.0,201.0,914.0,279,955.0,940,870.0
319,文花帖,407.0,802.0,1226.0,201.0,914.0,279,955.0,940,226.0
320,文花帖,407.0,802.0,1226.0,201.0,914.0,279,955.0,279,870.0
321,文花帖,407.0,802.0,1226.0,201.0,914.0,279,955.0,279,226.0
322,文花帖,407.0,802.0,1226.0,201.0,914.0,279,264.0,940,870.0
323,文花帖,407.0,802.0,1226.0,201.0,914.0,279,264.0,940,226.0
324,文花帖,407.0,802.0,1226.0,201.0,914.0,279,264.0,279,870.0
325,文花帖,407.0,802.0,1226.0,201.0,914.0,279,264.0,279,226.0
326,文花帖,407.0,802.0,1226.0,201.0,231.0,940,955.0,940,870.0
327,文花帖,407.0,802.0,1226.0,201.0,231.0,940,955.0,940,226.0
328,文花帖,407.0,802.0,1226.0,201.0,231.0,940,955.0,279,870.0
329,文花帖,407.0,802.0,1226.0,201.0,231.0,940,955.0,279,226.0
330,文花帖,407.0,802.0,1226.0,201.0,231.0,940,264.0,940,870.0
331,文花帖,407.0,802.0,1226.0,201.0,231.0,940,264.0,940,226.0
332,文花帖,407.0,802.0,1226.0,201.0,231.0,940,264.0,279,870.0
333,文花帖,407.0,802.0,1226.0,201.0,231.0,940,264.0,279,226.0
334,文花帖,407.0,802.0,1226.0,201.0,231.0,279,955.0,940,870.0
335,文花帖,407.0,802.0,1226.0,201.0,231.0,279,955.0,940,226.0
336,文花帖,407.0,802.0,1226.0,201.0,231.0,279,955.0,279,870.0
337,文花帖,407.0,802.0,1226.0,201.0,231.0,279,955.0,279,226.0
338,文花帖,407.0,802.0,1226.0,201.0,231.0,279,264.0,940,870.0
339,文花帖,407.0,802.0,1226.0,201.0,231.0,279,264.0,940,226.0
340,文花帖,407.0,802.0,1226.0,201.0,231.0,279,264.0,279,870.0
341,文花帖,407.0,802.0,1226.0,201.0,231.0,279,264.0,279,226.0
342,文花帖,407.0,802.0,342.0,717.0,914.0,940,955.0,940,870.0
343,文花帖,407.0,802.0,342.0,717.0,914.0,940,955.0,940,226.0
344,文花帖,407.0,802.0,342.0,717.0,914.0,940,955.0,279,870.0
345,文花帖,407.0,802.0,342.0,717.0,914.0,940,955.0,279,226.0
346,文花帖,407.0,802.0,342.0,717.0,914.0,940,264.0,940,870.0
347,文花帖,407.0,802.0,342.0,717.0,914.0,940,264.0,940,226.0
348,文花帖,407.0,802.0,342.0,717.0,914.0,940,264.0,279,870.0
349,文花帖,407.0,802.0,342.0,717.0,914.0,940,264.0,279,226.0
350,文花帖,407.0,802.0,342.0,717.0,914.0,279,955.0,940,870.0
351,文花帖,407.0,802.0,342.0,717.0,914.0,279,955.0,940,226.0
352,文花帖,407.0,802.0,342.0,717.0,914.0,279,955.0,279,870.0
353,文花帖,407.0,802.0,342.0,717.0,914.0,279,955.0,279,226.0
354,文花帖,407.0,802.0,342.0,717.0,914.0,279,264.0,940,870.0
355,文花帖,407.0,802.0,342.0,717.0,914.0,279,264.0,940,226.0
356,文花帖,407.0,802.0,342.0,717.0,914.0,279,264.0,279,870.0
357,文花帖,407.0,802.0,342.0,717.0,914.0,279,264.0,279,226.0
358,文花帖,407.0,802.0,342.0,717.0,231.0,940,955.0,940,870.0
359,文花帖,407.0,802.0,342.0,717.0,231.0,940,955.0,940,226.0
360,文花帖,407.0,802.0,342.0,717.0,231.0,940,955.0,279,870.0
361,文花帖,407.0,802.0,342.0,717.0,231.0,940,955.0,279,226.0
362,文花帖,407.0,802.0,342.0,717.0,231.0,940,264.0,940,870.0
363,文花帖,407.0,802.0,342.0,717.0,231.0,940,264.0,940,226.0
364,文花帖,407.0,802.0,342.0,717.0,231.0,940,264.0,279,870.0
365,文花帖,407.0,802.0,342.0,717.0,231.0,940,264.0,279,226.0
366,文花帖,407.0,802.0,342.0,717.0,231.0,279,955.0,940,870.0
367,文花帖,407.0,802.0,342.0,717.0,231.0,279,955.0,940,226.0
368,文花帖,407.0,802.0,342.0,717.0,231.0,279,955.0,279,870.0
369,文花帖,407.0,802.0,342.0,717.0,231.0,279,955.0,279,226.0
370,文花帖,407.0,802.0,342.0,717.0,231.0,279,264.0,940,870.0
371,文花帖,407.0,802.0,342.0,717.0,231.0,279,264.0,940,226.0
372,文花帖,407.0,802.0,342.0,717.0,231.0,279,264.0,279,870.0
373,文花帖,407.0,802.0,342.0,717.0,231.0,279,264.0,279,226.0
374,文花帖,407.0,802.0,342.0,201.0,914.0,940,955.0,940,870.0
375,文花帖,407.0,802.0,342.0,201.0,914.0,940,955.0,940,226.0
376,文花帖,407.0,802.0,342.0,201.0,914.0,940,955.0,279,870.0
377,文花帖,407.0,802.0,342.0,201.0,914.0,940,955.0,279,226.0
378,文花帖,407.0,802.0,342.0,201.0,914.0,940,264.0,940,870.0
379,文花帖,407.0,802.0,342.0,201.0,914.0,940,264.0,940,226.0
380,文花帖,407.0,802.0,342.0,201.0,914.0,940,264.0,279,870.0
381,文花帖,407.0,802.0,342.0,201.0,914.0,940,264.0,279,226.0
382,文花帖,407.0,802.0,342.0,201.0,914.0,279,955.0,940,870.0
383,文花帖,407.0,802.0,342.0,201.0,914.0,279,955.0,940,226.0
384,文花帖,407.0,802.0,342.0,201.0,914.0,279,955.0,279,870.0
385,文花帖,407.0,802.0,342.0,201.0,914.0,279,955.0,279,226.0
386,文花帖,407.0,802.0,342.0,201.0,914.0,279,264.0,940,870.0
387,文花帖,407.0,802.0,342.0,201.0,914.0,279,264.0,940,226.0
388,文花帖,407.0,802.0,342.0,201.0,914.0,279,264.0,279,870.0
389,文花帖,407.0,802.0,342.0,201.0,914.0,279,264.0,279,226.0
390,文花帖,407.0,802.0,342.0,201.0,231.0,940,955.0,940,870.0
391,文花帖,407.0,802.0,342.0,201.0,231.0,940,955.0,940,226.0
392,文花帖,407.0,802.0,342.0,201.0,231.0,940,955.0,279,870.0
393,文花帖,407.0,802.0,342.0,201.0,231.0,940,955.0,279,226.0
394,文花帖,407.0,802.0,342.0,201.0,231.0,940,264.0,940,870.0
395,文花帖,407.0,802.0,342.0,201.0,231.0,940,264.0,940,226.0
396,文花帖,407.0,802.0,342.0,201.0,231.0,940,264.0,279,870.0
397,文花帖,407.0,802.0,342.0,201.0,231.0,940,264.0,279,226.0
398,文花帖,407.0,802.0,342.0,201.0,231.0,279,955.0,940,870.0
399,文花帖,407.0,802.0,342.0,201.0,231.0,279,955.0,940,226.0
400,文花帖,407.0,802.0,342.0,201.0,231.0,279,955.0,279,870.0
401,文花帖,407.0,802.0,342.0,201.0,231.0,279,955.0,279,226.0
402,文花帖,407.0,802.0,342.0,201.0,231.0,279,264.0,940,870.0
403,文花帖,407.0,802.0,342.0,201.0,231.0,279,264.0,940,226.0
404,文花帖,407.0,802.0,342.0,201.0,231.0,279,264.0,279,870.0
405,文花帖,407.0,802.0,342.0,201.0,231.0,279,264.0,279,226.0
406,文花帖,407.0,176.0,1226.0,717.0,914.0,940,955.0,940,870.0
407,文花帖,407.0,176.0,1226.0,717.0,914.0,940,955.0,940,226.0
408,文花帖,407.0,176.0,1226.0,717.0,914.0,940,955.0,279,870.0
409,文花帖,407.0,176.0,1226.0,717.0,914.0,940,955.0,279,226.0
410,文花帖,407.0,176.0,1226.0,717.0,914.0,940,264.0,940,870.0
411,文花帖,407.0,176.0,1226.0,717.0,914.0,940,264.0,940,226.0
412,文花帖,407.0,176.0,1226.0,717.0,914.0,940,264.0,279,870.0
413,文花帖,407.0,176.0,1226.0,717.0,914.0,940,264.0,279,226.0
414,文花帖,407.0,176.0,1226.0,717.0,914.0,279,955.0,940,870.0
415,文花帖,407.0,176.0,1226.0,717.0,914.0,279,955.0,940,226.0
416,文花帖,407.0,176.0,1226.0,717.0,914.0,279,955.0,279,870.0
417,文花帖,407.0,176.0,1226.0,717.0,914.0,279,955.0,279,226.0
418,文花帖,407.0,176.0,1226.0,717.0,914.0,279,264.0,940,870.0
419,文花帖,407.0,176.0,1226.0,717.0,914.0,279,264.0,940,226.0
420,文花帖,407.0,176.0,1226.0,717.0,914.0,279,264.0,279,870.0
421,文花帖,407.0,176.0,1226.0,717.0,914.0,279,264.0,279,226.0
422,文花帖,407.0,176.0,1226.0,717.0,231.0,940,955.0,940,870.0
423,文花帖,407.0,176.0,1226.0,717.0,231.0,940,955.0,940,226.0
424,文花帖,407.0,176.0,1226.0,717.0,231.0,940,955.0,279,870.0
425,文花帖,407.0,176.0,1226.0,717.0,231.0,940,955.0,279,226.0
426,文花帖,407.0,176.0,1226.0,717.0,231.0,940,264.0,940,870.0
427,文花帖,407.0,176.0,1226.0,717.0,231.0,940,264.0,940,226.0
428,文花帖,407.0,176.0,1226.0,717.0,231.0,940,264.0,279,870.0
429,文花帖,407.0,176.0,1226.0,717.0,231.0,940,264.0,279,226.0
430,文花帖,407.0,176.0,1226.0,717.0,231.0,279,955.0,940,870.0
431,文花帖,407.0,176.0,1226.0,717.0,231.0,279,955.0,940,226.0
432,文花帖,407.0,176.0,1226.0,717.0,231.0,279,955.0,279,870.0
433,文花帖,407.0,176.0,1226.0,717.0,231.0,279,955.0,279,226.0
434,文花帖,407.0,176.0,1226.0,717.0,231.0,279,264.0,940,870.0
435,文花帖,407.0,176.0,1226.0,717.0,231.0,279,264.0,940,226.0
436,文花帖,407.0,176.0,1226.0,717.0,231.0,279,264.0,279,870.0
437,文花帖,407.0,176.0,1226.0,717.0,231.0,279,264.0,279,226.0
438,文花帖,407.0,176.0,1226.0,201.0,914.0,940,955.0,940,870.0
439,文花帖,407.0,176.0,1226.0,201.0,914.0,940,955.0,940,226.0
440,文花帖,407.0,176.0,1226.0,201.0,914.0,940,955.0,279,870.0
441,文花帖,407.0,176.0,1226.0,201.0,914.0,940,955.0,279,226.0
442,文花帖,407.0,176.0,1226.0,201.0,914.0,940,264.0,940,870.0
443,文花帖,407.0,176.0,1226.0,201.0,914.0,940,264.0,940,226.0
444,文花帖,407.0,176.0,1226.0,201.0,914.0,940,264.0,279,870.0
445,文花帖,407.0,176.0,1226.0,201.0,914.0,940,264.0,279,226.0
446,文花帖,407.0,176.0,1226.0,201.0,914.0,279,955.0,940,870.0
447,文花帖,407.0,176.0,1226.0,201.0,914.0,279,955.0,940,226.0
448,文花帖,407.0,176.0,1226.0,201.0,914.0,279,955.0,279,870.0
449,文花帖,407.0,176.0,1226.0,201.0,914.0,279,955.0,279,226.0
450,文花帖,407.0,176.0,1226.0,201.0,914.0,279,264.0,940,870.0
451,文花帖,407.0,176.0,1226.0,201.0,914.0,279,264.0,940,226.0
452,文花帖,407.0,176.0,1226.0,201.0,914.0,279,264.0,279,870.0
453,文花帖,407.0,176.0,1226.0,201.0,914.0,279,264.0,279,226.0
454,文花帖,407.0,176.0,1226.0,201.0,231.0,940,955.0,940,870.0
455,文花帖,407.0,176.0,1226.0,201.0,231.0,940,955.0,940,226.0
456,文花帖,407.0,176.0,1226.0,201.0,231.0,940,955.0,279,870.0
457,文花帖,407.0,176.0,1226.0,201.0,231.0,940,955.0,279,226.0
458,文花帖,407.0,176.0,1226.0,201.0,231.0,940,264.0,940,870.0
459,文花帖,407.0,176.0,1226.0,201.0,231.0,940,264.0,940,226.0
460,文花帖,407.0,176.0,1226.0,201.0,231.0,940,264.0,279,870.0
461,文花帖,407.0,176.0,1226.0,201.0,231.0,940,264.0,279,226.0
462,文花帖,407.0,176.0,1226.0,201.0,231.0,279,955.0,940,870.0
463,文花帖,407.0,176.0,1226.0,201.0,231.0,279,955.0,940,226.0
464,文花帖,407.0,176.0,1226.0,201.0,231.0,279,955.0,279,870.0
465,文花帖,407.0,176.0,1226.0,201.0,231.0,279,955.0,279,226.0
466,文花帖,407.0,176.0,1226.0,201.0,231.0,279,264.0,940,870.0
467,文花帖,407.0,176.0,1226.0,201.0,231.0,279,264.0,940,226.0
468,文花帖,407.0,176.0,1226.0,201.0,231.0,279,264.0,279,870.0
469,文花帖,407.0,176.0,1226.0,201.0,231.0,279,264.0,279,226.0
470,文花帖,407.0,176.0,342.0,717.0,914.0,940,955.0,940,870.0
471,文花帖,407.0,176.0,342.0,717.0,914.0,940,955.0,940,226.0
472,文花帖,407.0,176.0,342.0,717.0,914.0,940,955.0,279,870.0
473,文花帖,407.0,176.0,342.0,717.0,914.0,940,955.0,279,226.0
474,文花帖,407.0,176.0,342.0,717.0,914.0,940,264.0,940,870.0
475,文花帖,407.0,176.0,342.0,717.0,914.0,940,264.0,940,226.0
476,文花帖,407.0,176.0,342.0,717.0,914.0,940,264.0,279,870.0
477,文花帖,407.0,176.0,342.0,717.0,914.0,940,264.0,279,226.0
478,文花帖,407.0,176.0,342.0,717.0,914.0,279,955.0,940,870.0
479,文花帖,407.0,176.0,342.0,717.0,914.0,279,955.0,940,226.0
480,文花帖,407.0,176.0,342.0,717.0,914.0,279,955.0,279,870.0
481,文花帖,407.0,176.0,342.0,717.0,914.0,279,955.0,279,226.0
482,文花帖,407.0,176.0,342.0,717.0,914.0,279,264.0,940,870.0
483,文花帖,407.0,176.0,342.0,717.0,914.0,279,264.0,940,226.0
484,文花帖,407.0,176.0,342.0,717.0,914.0,279,264.0,279,870.0
485,文花帖,407.0,176.0,342.0,717.0,914.0,279,264.0,279,226.0
486,文花帖,407.0,176.0,342.0,717.0,231.0,940,955.0,940,870.0
487,文花帖,407.0,176.0,342.0,717.0,231.0,940,955.0,940,226.0
488,文花帖,407.0,176.0,342.0,717.0,231.0,940,955.0,279,870.0
489,文花帖,407.0,176.0,342.0,717.0,231.0,940,955.0,279,226.0
490,文花帖,407.0,176.0,342.0,717.0,231.0,940,264.0,940,870.0
491,文花帖,407.0,176.0,342.0,717.0,231.0,940,264.0,940,226.0
492,文花帖,407.0,176.0,342.0,717.0,231.0,940,264.0,279,870.0
493,文花帖,407.0,176.0,342.0,717.0,231.0,940,264.0,279,226.0
494,文花帖,407.0,176.0,342.0,717.0,231.0,279,955.0,940,870.0
495,文花帖,407.0,176.0,342.0,717.0,231.0,279,955.0,940,226.0
496,文花帖,407.0,176.0,342.0,717.0,231.0,279,955.0,279,870.0
497,文花帖,407.0,176.0,342.0,717.0,231.0,279,955.0,279,226.0
498,文花帖,407.0,176.0,342.0,717.0,231.0,279,264.0,940,870.0
499,文花帖,407.0,176.0,342.0,717.0,231.0,279,264.0,940,226.0
500,文花帖,407.0,176.0,342.0,717.0,231.0,279,264.0,279,870.0
501,文花帖,407.0,176.0,342.0,717.0,231.0,279,264.0,279,226.0
502,文花帖,407.0,176.0,342.0,201.0,914.0,940,955.0,940,870.0
503,文花帖,407.0,176.0,342.0,201.0,914.0,940,955.0,940,226.0
504,文花帖,407.0,176.0,342.0,201.0,914.0,940,955.0,279,870.0
505,文花帖,407.0,176.0,342.0,201.0,914.0,940,955.0,279,226.0
506,文花帖,407.0,176.0,342.0,201.0,914.0,940,264.0,940,870.0
507,文花帖,407.0,176.0,342.0,201.0,914.0,940,264.0,940,226.0
508,文花帖,407.0,176.0,342.0,201.0,914.0,940,264.0,279,870.0
509,文花帖,407.0,176.0,342.0,201.0,914.0,940,264.0,279,226.0
510,文花帖,407.0,176.0,342.0,201.0,914.0,279,955.0,940,870.0
511,文花帖,407.0,176.0,342.0,201.0,914.0,279,955.0,940,226.0
512,文花帖,407.0,176.0,342.0,201.0,914.0,279,955.0,279,870.0
513,文花帖,407.0,176.0,342.0,201.0,914.0,279,955.0,279,226.0
514,文花帖,407.0,176.0,342.0,201.0,914.0,279,264.0,940,870.0
515,文花帖,407.0,176.0,342.0,201.0,914.0,279,264.0,940,226.0
516,文花帖,407.0,176.0,342.0,201.0,914.0,279,264.0,279,870.0
517,文花帖,407.0,176.0,342.0,201.0,914.0,279,264.0,279,226.0
518,文花帖,407.0,176.0,342.0,201.0,231.0,940,955.0,940,870.0
519,文花帖,407.0,176.0,342.0,201.0,231.0,940,955.0,940,226.0
520,文花帖,407.0,176.0,342.0,201.0,231.0,940,955.0,279,870.0
521,文花帖,407.0,176.0,342.0,201.0,231.0,940,955.0,279,226.0
522,文花帖,407.0,176.0,342.0,201.0,231.0,940,264.0,940,870.0
523,文花帖,407.0,176.0,342.0,201.0,231.0,940,264.0,940,226.0
524,文花帖,407.0,176.0,342.0,201.0,231.0,940,264.0,279,870.0
525,文花帖,407.0,176.0,342.0,201.0,231.0,940,264.0,279,226.0
526,文花帖,407.0,176.0,342.0,201.0,231.0,279,955.0,940,870.0
527,文花帖,407.0,176.0,342.0,201.0,231.0,279,955.0,940,226.0
528,文花帖,407.0,176.0,342.0,201.0,231.0,279,955.0,279,870.0
529,文花帖,407.0,176.0,342.0,201.0,231.0,279,955.0,279,226.0
530,文花帖,407.0,176.0,342.0,201.0,231.0,279,264.0,940,870.0
531,文花帖,407.0,176.0,342.0,201.0,231.0,279,264.0,940,226.0
532,文花帖,407.0,176.0,342.0,201.0,231.0,279,264.0,279,870.0
533,文花帖,407.0,176.0,342.0,201.0,231.0,279,264.0,279,226.0
534,ダブルスポイラー,1416.0,708.0,1218.0,638.0,667.0,563,680.0,563,923.0
535,蓬莱人形,1281.0,1318.0,1162.0,991.0,1293.0,2080,1534.0,2080,1084.0
536,妖精大戦争,1277.0,772.0,1125.0,687.0,912.0,1058,942.0,1058,856.0
537,幻想郷,1091.0,1143.0,969.0,685.0,1909.0,2598,2657.0,2598,819.0
538,怪綺談,1020.0,819.0,835.0,646.0,931.0,1262,1143.0,1262,744.0
539,萃夢想,1009.0,733.0,811.0,488.0,750.0,858,994.0,858,635.0
540,蓮台野夜行,855.0,558.0,640.0,467.0,575.0,654,616.0,654,509.0
541,夢時空,787.0,656.0,631.0,475.0,809.0,1068,961.0,1068,514.0
542,卯酉東海道,771.0,693.0,636.0,521.0,651.0,1119,831.0,1119,567.0
543,The Grimoire of Marisa,613.0,344.0,506.0,317.0,357.0,404,458.0,404,417.0
544,夢違科学世紀,578.0,523.0,473.0,375.0,466.0,557,503.0,557,404.0
545,靈異伝,562.0,628.0,482.0,452.0,972.0,1598,1339.0,1598,439.0
546,伊弉諾物質,522.0,381.0,387.0,281.0,412.0,335,388.0,335,345.0
547,鳥船遺跡,447.0,311.0,306.0,205.0,304.0,310,313.0,310,272.0
548,幺樂団の歴史,262.0,229.0,223.0,167.0,217.0,318,251.0,318,177.0
549,封魔録,250.0,371.0,251.0,213.0,629.0,1031,852.0,1031,260.0
550,未知の花,194.0,253.0,172.0,235.0,240.0,228,214.0,228,167.0
551,鬼形獣,,3746.0,,,3566.0,2846,3679.0,2846,
552,天空璋,,2430.0,,2422.0,2220.0,2318,2355.0,2318,3496.0
553,憑依華,,2265.0,,2266.0,2349.0,2863,2950.0,2863,3268.0
554,酔蝶華,,737.0,,,1297.0,1936,1410.0,1936,
555,智霊奇伝 反則探偵さとり,,651.0,,,823.0,2159,1343.0,2159,
556,The Grimoire of Usami 秘封倶楽部異界撮影記録,,462.0,,,521.0,369,482.0,369,
557,秘封ナイトメアダイアリー,,455.0,,670.0,499.0,364,452.0,364,
558,燕石博物誌,,452.0,655.0,402.0,370.0,337,384.0,337,477.0
559,旧約酒場,,283.0,503.0,229.0,301.0,274,298.0,274,322.0
560,文果真報,,262.0,,331.0,248.0,326,294.0,326,608.0
561,剛欲異聞,,158.0,,,406.0,1582,1576.0,1582,
562,Project人妖名鑑 宵闇編,,126.0,,,278.0,227,152.0,227,
563,虹龍洞,,,,,5000.0,3465,4476.0,3465,
564,獣王園,,,,,,2775,,2775,
565,七夕坂夢幻能,,,,,,1162,,1162,
566,バレットフィリア達の闇市場,,,,,,835,1715.0,835,
567,Project人妖名鑑 常世編,,,,,,173,116.0,173,
568,虹色のセプテントリオン,,,,,,92,107.0,92,
